actor_id,actor_name
1,Unknown
2,Ama Qamata
3,Khosi Ngema
4,Gail Mabalane
5,Thabang Molaba
6,Dillon Windvogel
7,Natasha Thahane
8,Arno Greeff
9,Xolile Tshabalala
10,Getmore Sithole
11,Cindy Mahlangu
12,Ryle De Morny
13,Greteli Fincham
14,Sello Maake Ka-Ncube
15,Odwa Gwanya
16,Mekaila Mathys
17,Sandi Schultz
18,Duane Williams
19,Shamilla Miller
20,Patrick Mofokeng
21,Sami Bouajila
22,Tracy Gotoas
23,Samuel Jouy
24,Nabiha Akkari
25,Sofia Lesaffre
26,Salim Kechiouche
27,Noureddine Farihi
28,Geert Van Rampelberg
29,Bakary Diombera
30,Mayur More
31,Jitendra Kumar
32,Ranjan Raj
33,Alam Khan
34,Ahsaas Channa
35,Revathi Pillai
36,Urvi Singh
37,Arun Kumar
38,Kate Siegel
39,Zach Gilford
40,Hamish Linklater
41,Henry Thomas
42,Kristin Lehman
43,Samantha Sloyan
44,Igby Rigney
45,Rahul Kohli
46,Annarah Cymone
47,Annabeth Gish
48,Alex Essoe
49,Rahul Abburi
50,Matt Biedel
51,Michael Trucco
52,Crystal Balint
53,Louis Oliver
54,Vanessa Hudgens
55,Kimiko Glenn
56,James Marsden
57,Sofia Carson
58,Liza Koshy
59,Ken Jeong
60,Elizabeth Perkins
61,Jane Krakowski
62,Michael McKean
63,Phil LaMarr
64,Kofi Ghanaba
65,Oyafunmike Ogunlano
66,Alexandra Duah
67,Nick Medley
68,Mutabaruka
69,Afemo Omilami
70,Reggie Carter
71,Mzuri
72,Mel Giedroyc
73,Sue Perkins
74,Mary Berry
75,Paul Hollywood
76,Melissa McCarthy
77,Chris O'Dowd
78,Kevin Kline
79,Timothy Olyphant
80,Daveed Diggs
81,Skyler Gisondo
82,Laura Harrier
83,Rosalind Chao
84,Kimberly Quinn
85,Loretta Devine
86,Ravi Kapoor
87,Sukollawat Kanarot
88,Sushar Manaying
89,Pavarit Mongkolpisit
90,Sahajak Boonthanakit
91,Suthipongse Thatphithakkul
92,Bhasaworn Bawronkirati
93,Daweerit Chullasapya
94,Waratthaya Wongchayaporn
95,Kittiphoom Wongpentak
96,Abhicha Thanachanun
97,Nophand Boonyai
98,Kittipong Khamsat
99,Arisara Wongchalee
100,Jaytiya Naiwattanakul
101,Pantipa Arunwattanachai
102,Panupan Jantanawong
103,Kungtap Saelim
104,Phumphat Chartsuriyakiat
105,Issara Veranitinunt
106,Keerati Sivakuae
107,Panjai Sirisuwan
108,Supranee Charoenpol
109,Suda Chuenban
110,Visaka Banhansupavat
111,Pitchatorn Santinatornkul
112,Luna Wedler
113,Jannis Niewöhner
114,Milan Peschel
115,Edin Hasanović
116,Anna Fialová
117,Marlon Boess
118,Victor Boccard
119,Fleur Geffrier
120,Aziz Dyab
