country_id,country_name
1,United States
2,South Africa
3,Unknown
4,India
5,Ghana
6,Burkina Faso
7,United Kingdom
8,Germany
9,Ethiopia
10,Czech Republic
11,Mexico
12,Turkey
13,Australia
14,France
15,Finland
16,China
17,Canada
18,Japan
19,Nigeria
20,Spain
21,Belgium
22,South Korea
23,Singapore
24,Italy
25,Romania
26,Argentina
27,Venezuela
28,Hong Kong
29,Russia
30,Ireland
31,Nepal
32,New Zealand
33,Brazil
34,Greece
35,Jordan
36,Colombia
37,Switzerland
38,Israel
39,Taiwan
40,Bulgaria
41,Algeria
42,Poland
43,Saudi Arabia
44,Thailand
45,Indonesia
46,Egypt
47,Denmark
48,Kuwait
49,Netherlands
50,Malaysia
51,Vietnam
52,Hungary
53,Sweden
54,Lebanon
55,Syria
56,Philippines
57,Iceland
58,United Arab Emirates
59,Norway
60,Qatar
61,Mauritius
62,Austria
63,Cameroon
64,Palestine
65,Uruguay
66,Kenya
67,Chile
68,Luxembourg
69,Cambodia
70,Bangladesh
71,Portugal
72,Cayman Islands
73,Senegal
74,Serbia
75,Malta
76,Namibia
77,Angola
78,Peru
79,Mozambique
80,Belarus
81,Zimbabwe
82,Puerto Rico
83,Pakistan
84,Cyprus
85,Guatemala
86,Iraq
87,Malawi
88,Paraguay
89,Croatia
90,Iran
91,West Germany
92,Albania
93,Georgia
94,Soviet Union
95,Morocco
96,Slovakia
97,Ukraine
98,Bermuda
99,Ecuador
100,Armenia
101,Mongolia
102,Bahamas
103,Sri Lanka
104,Latvia
105,Liechtenstein
106,Cuba
107,Nicaragua
108,Slovenia
109,Dominican Republic
110,Samoa
111,Azerbaijan
112,Botswana
113,Vatican City
114,Jamaica
115,Kazakhstan
116,Lithuania
117,Afghanistan
118,Somalia
119,Sudan
120,Panama
121,Uganda
122,East Germany
123,Montenegro
