director_id,director_name
1,Kirsten Johnson
2,Unknown
3,Julien Leclercq
4,Mike Flanagan
5,Robert Cullen
6,José Luis Ucha
7,Haile Gerima
8,Andy Devonshire
9,Theodore Melfi
10,Kongkiat Komesiri
11,Christian Schwochow
12,Bruno Garotti
13,Pedro de Echave García
14,Pablo Azorín Williams
15,Adam Salky
16,Olivier Megaton
17,K.S. Ravikumar
18,Alex Woo
19,Stanley Moore
20,S. Shankar
21,Rajiv Menon
22,Dennis Dugan
23,Scott Stewart
24,Robert Luketic
25,Ashwiny Iyer Tiwari
26,Abhishek Chaubey
27,Saket Chaudhary
28,Daniel Sandu
29,Cédric Jimenez
30,George Nolfi
31,Steven Spielberg
32,Jeannot Szwarc
33,Joe Alves
34,Joseph Sargent
35,Tyler Greco
36,Daniel Espinosa
37,Bunmi Ajakaiye
38,Antoine Fuqua
39,Toshiya Shinohara
40,Masahiko Murata
41,Hajime Kamegaki
42,Hirotsugu Kawasaki
43,Toshiyuki Tsuru
44,Tensai Okamura
45,David Yarovesky
46,Hanns-Bruno Kammertöns
47,Vanessa Nöcker
48,Michael Wech
49,David A. Vargas
50,Kemi Adetiba
51,Ben Simms
52,Prakash Satam
53,Delhiprasad Deenadayalan
54,Tomer Eshed
55,Cedric Nicolas-Troyan
56,JJC Skillz
57,Funke Akindele
58,Thomas Sieben
59,Marcus Clarke
60,Alice Waddington
61,Mona Achache
62,Patricia Tourancheau
63,Alexis Almström
64,Raja Gosnell
65,Stephen Kijak
66,Chapman Way
67,Maclain Way
68,Jason Hehir
69,Yemi Amodu
70,Lijo Jose Pellissery
71,David de Vos
72,Luis Alfaro
73,Javier Gómez Santander
74,Sara Colangelo
75,Stephen Herek
76,Rahul Rawail
77,Jane Campion
78,Nagesh Kukunoor
79,Luke Holland
80,Shanker Raman
81,JP Habac
82,Vidhu Vinod Chopra
83,Mark Rosman
84,Gilles Paquet-Brenner
85,Lasse Hallström
86,Scott Pleydell-Pearce
87,Ridley Scott
88,Neill Blomkamp
89,Phillip Noyce
90,Renny Harlin
91,Anthony Minghella
92,Simon Wincer
93,Spike Lee
94,Sebastián Schindel
95,Steven C. Miller
96,Richard LaGravenese
97,Martin Campbell
98,Reginald Hudlin
99,George Jackson
100,Doug McHenry
101,Eric Meza
102,Gerhard Mostert
103,Michael Martin
104,Michael Rymer
105,Andrew Lau Wai-keung
106,Alan Mak
107,Brett Weiner
108,Jim Henson
109,Gary Winick
110,Danishka Esterhazy
111,Troy Byer
112,Pang Ho-cheung
113,Tim Burton
114,David Zucker
115,Kinka Usher
116,Sergio Leone
117,Matthew O'Callaghan
118,Todd Wilderman
119,Bobby Farrelly
120,Peter Farrelly
121,Wolfgang Petersen
122,Peter Spirer
123,Michael Carney
124,Richard Linklater
125,Amy Rice
126,Randal Kleiser
127,Michael Ritchie
128,J. Lee Thompson
129,Evan Goldberg
130,Seth Rogen
131,Tom Shadyac
132,Peter Segal
133,Malcolm D. Lee
134,Ramzy Bedia
135,Éric Judor
136,Sharan Koppisetty
137,Taylor Sheridan
138,Sachin Yardi
139,Saurabh Kabra
140,Mark Waters
141,Partho Mitra
142,Santram Varma
143,Anil V. Kumar
144,Anurag Basu
145,Sangeeth Sivan
146,Umesh Ghadge
147,David Dhawan
148,Dibakar Banerjee
149,Apoorva Lakhia
150,Milan Luthria
151,Pawan Kripalani
152,Bhushan Patel
153,Magnus Martens
154,Raj Nidimoru
155,Krishna D.K.
156,Joshua Rofé
157,Brad Anderson
158,Mauricio Dias
159,Tatiana Villela
160,Angel Kristi Williams
161,Roger Donaldson
162,Christopher Alender
163,Rush Sturges
164,David Oyelowo
165,Mark Lo
166,Crystal Moselle
167,Rathindran R Prasad
168,Han Kwang Il
169,Karim El Shenawy
170,Yin Chen-hao
171,Brian Andrew Mendoza
172,Dave Needham
173,Veronica Velasco
174,Drake Doremus
175,Miguel Alexandre
176,Mani Ratnam
177,Michael Harte
178,Tosin Igho
179,Alice Filippi
180,Paakhi Tyrewala
181,Laura Brownson
182,Steve Brill
183,Moses Inwang
184,Ferdinando Cito Filomarino
185,Juan Carlos Medina
186,Inma Torrente
187,Julián Gaviria
188,Steven Yamamoto
189,Charles Uwagbai
190,Julián Hernández
191,Sam Hobkinson
192,Vince Marcello
193,Jonathan Teplitzky
194,Sakon Tiacharoen
195,Floyd Russ
196,Dustin Hoffman
197,Adze Ugah
198,Hideaki Takizawa
199,Quoc Bao Tran
200,Bejoy Nambiar
201,Priyadarshan
202,Karthik Narain
203,Vasanth Sai
204,Karthik Subbaraj
205,Arvind Swamy
206,Sarjun
207,Gautham Vasudev Menon
208,Kayode Kasum
209,Just Philippot
210,Kirk DeMicco
211,Brandon Jeffords
212,Rohit Shetty
213,Cavi Borges
214,Luciano Vidigal
215,Alejandro Doria
216,Laura Fairrie
217,Marcelo Piñeyro
218,Izu Ojukwu
219,Peter Winther
220,Susan Lacy
221,Billy Corben
222,James Mangold
223,Chineze Anyaene
224,Hsu Fu-chun
225,Kristine Stolakis
226,Eva Müller
227,Michael Schmitt
228,Brian Levant
229,Rod Daniel
230,Robert Zemeckis
231,Todor Chapkanov
232,Phil Lord
233,Christopher Miller
234,John Hughes
235,Justin Baldoni
236,Joe Roth
237,Mark Helfrich
238,Mag Hsu
239,Hsu Chih-yen
240,Christopher Nolan
241,Paul Thomas Anderson
242,Nick Castle
243,Howard Zieff
244,David Feiss
245,David Gordon Green
246,Jorge Blanco
