show_id,type,title,date_added,release_year,rating,duration
1,Movie,Dick Johnson Is Dead,"September 25, 2021",2020,PG-13,90 min
2,TV Show,Blood & Water,"September 24, 2021",2021,TV-MA,2 Seasons
3,TV Show,Ganglands,"September 24, 2021",2021,TV-MA,1 Season
4,TV Show,Jailbirds New Orleans,"September 24, 2021",2021,TV-MA,1 Season
5,TV Show,Kota Factory,"September 24, 2021",2021,TV-MA,2 Seasons
6,TV Show,Midnight Mass,"September 24, 2021",2021,TV-MA,1 Season
7,Movie,My Little Pony: A New Generation,"September 24, 2021",2021,PG,91 min
8,Movie,Sankofa,"September 24, 2021",1993,TV-MA,125 min
9,TV Show,The Great British Baking Show,"September 24, 2021",2021,TV-14,9 Seasons
10,Movie,The Starling,"September 24, 2021",2021,PG-13,104 min
11,TV Show,"Vendetta: Truth, Lies and The Mafia","September 24, 2021",2021,TV-MA,1 Season
12,TV Show,Bangkok Breaking,"September 23, 2021",2021,TV-MA,1 Season
13,Movie,Je Suis Karl,"September 23, 2021",2021,TV-MA,127 min
14,Movie,Confessions of an Invisible Girl,"September 22, 2021",2021,TV-PG,91 min
15,TV Show,Crime Stories: India Detectives,"September 22, 2021",2021,TV-MA,1 Season
16,TV Show,Dear White People,"September 22, 2021",2021,TV-MA,4 Seasons
17,Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,"September 22, 2021",2020,TV-MA,67 min
18,TV Show,Falsa identidad,"September 22, 2021",2020,TV-MA,2 Seasons
19,Movie,Intrusion,"September 22, 2021",2021,TV-14,94 min
20,TV Show,Jaguar,"September 22, 2021",2021,TV-MA,1 Season
21,TV Show,Monsters Inside: The 24 Faces of Billy Milligan,"September 22, 2021",2021,TV-14,1 Season
22,TV Show,Resurrection: Ertugrul,"September 22, 2021",2018,TV-14,5 Seasons
23,Movie,Avvai Shanmughi,"September 21, 2021",1996,TV-PG,161 min
24,Movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,"September 21, 2021",2021,TV-Y,61 min
25,Movie,Jeans,"September 21, 2021",1998,TV-14,166 min
26,TV Show,Love on the Spectrum,"September 21, 2021",2021,TV-14,2 Seasons
27,Movie,Minsara Kanavu,"September 21, 2021",1997,TV-PG,147 min
28,Movie,Grown Ups,"September 20, 2021",2010,PG-13,103 min
29,Movie,Dark Skies,"September 19, 2021",2013,PG-13,97 min
30,Movie,Paranoia,"September 19, 2021",2013,PG-13,106 min
31,Movie,Ankahi Kahaniya,"September 17, 2021",2021,TV-14,111 min
32,TV Show,Chicago Party Aunt,"September 17, 2021",2021,TV-MA,1 Season
33,TV Show,Sex Education,"September 17, 2021",2020,TV-MA,3 Seasons
34,TV Show,Squid Game,"September 17, 2021",2021,TV-MA,1 Season
35,TV Show,Tayo and Little Wizards,"September 17, 2021",2020,TV-Y7,1 Season
36,Movie,The Father Who Moves Mountains,"September 17, 2021",2021,TV-MA,110 min
37,Movie,The Stronghold,"September 17, 2021",2021,TV-MA,105 min
38,TV Show,Angry Birds,"September 16, 2021",2018,TV-Y7,1 Season
39,Movie,Birth of the Dragon,"September 16, 2021",2017,PG-13,96 min
40,TV Show,Chhota Bheem,"September 16, 2021",2021,TV-Y7,3 Seasons
41,TV Show,He-Man and the Masters of the Universe,"September 16, 2021",2021,TV-Y7,1 Season
42,Movie,Jaws,"September 16, 2021",1975,PG,124 min
43,Movie,Jaws 2,"September 16, 2021",1978,PG,116 min
44,Movie,Jaws 3,"September 16, 2021",1983,PG,98 min
45,Movie,Jaws: The Revenge,"September 16, 2021",1987,PG-13,91 min
46,Movie,My Heroes Were Cowboys,"September 16, 2021",2021,PG,23 min
47,Movie,Safe House,"September 16, 2021",2012,R,115 min
48,TV Show,The Smart Money Woman,"September 16, 2021",2020,TV-MA,1 Season
49,Movie,Training Day,"September 16, 2021",2001,R,122 min
50,TV Show,Castle and Castle,"September 15, 2021",2021,TV-MA,2 Seasons
51,TV Show,Dharmakshetra,"September 15, 2021",2014,TV-PG,1 Season
52,Movie,InuYasha the Movie 2: The Castle Beyond the Looking Glass,"September 15, 2021",2002,TV-14,99 min
53,Movie,InuYasha the Movie 3: Swords of an Honorable Ruler,"September 15, 2021",2003,TV-14,99 min
54,Movie,InuYasha the Movie 4: Fire on the Mystic Island,"September 15, 2021",2004,TV-PG,88 min
55,Movie,InuYasha the Movie: Affections Touching Across Time,"September 15, 2021",2001,TV-PG,100 min
56,TV Show,Nailed It,"September 15, 2021",2021,TV-PG,6 Seasons
57,Movie,Naruto Shippuden the Movie: Blood Prison,"September 15, 2021",2011,TV-14,102 min
58,Movie,Naruto Shippûden the Movie: Bonds,"September 15, 2021",2008,TV-PG,93 min
59,Movie,Naruto Shippûden the Movie: The Will of Fire,"September 15, 2021",2009,TV-PG,96 min
60,Movie,Naruto Shippuden: The Movie,"September 15, 2021",2007,TV-PG,95 min
61,Movie,Naruto Shippuden: The Movie: The Lost Tower,"September 15, 2021",2010,TV-14,85 min
62,Movie,Naruto the Movie 2: Legend of the Stone of Gelel,"September 15, 2021",2005,TV-PG,97 min
63,Movie,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,"September 15, 2021",2006,TV-PG,95 min
64,Movie,Naruto the Movie: Ninja Clash in the Land of Snow,"September 15, 2021",2004,TV-PG,83 min
65,Movie,Nightbooks,"September 15, 2021",2021,TV-PG,103 min
66,TV Show,Numberblocks,"September 15, 2021",2021,TV-Y,6 Seasons
67,TV Show,Raja Rasoi Aur Anya Kahaniyan,"September 15, 2021",2014,TV-G,1 Season
