InvoiceNo,product_id,Quantity
536365,1,6
536365,2,6
536365,3,8
536365,4,6
536365,5,6
536365,6,2
536365,7,6
536366,8,6
536366,9,6
536367,10,32
536367,11,6
536367,12,6
536367,13,8
536367,14,6
536367,15,6
536367,16,3
536367,17,2
536367,18,3
536367,19,3
536367,20,4
536367,21,4
536368,22,6
536368,23,3
536368,24,3
536368,25,3
536369,26,3
536370,27,24
536370,28,24
536370,29,12
536370,30,12
536370,31,24
536370,32,48
536370,33,24
536370,34,18
536370,35,24
536370,36,24
536370,37,24
536370,38,24
536370,39,20
536370,40,24
536370,41,24
536370,42,12
536370,43,24
536370,44,24
536370,45,36
536370,46,3
536371,47,80
536372,8,6
536372,9,6
536373,1,6
536373,2,6
536373,3,8
536373,4,6
536373,5,6
536373,6,2
536373,7,6
536373,48,6
536373,49,6
536373,50,6
536373,51,6
536373,52,6
536373,53,2
536373,54,4
536373,55,6
536373,56,6
536374,57,32
536375,1,6
536375,2,6
536375,3,8
536375,4,6
536375,5,6
536375,6,2
536375,7,6
536375,48,6
536375,49,6
536375,50,6
536375,51,6
536375,52,6
536375,53,2
536375,54,4
536375,55,6
536375,56,6
536376,58,48
536376,59,64
536377,8,6
536377,9,6
536378,60,10
536378,61,10
536378,62,10
536378,63,10
536378,64,12
536378,65,6
536378,66,12
536378,67,10
536378,68,6
536378,69,6
536378,70,120
536378,71,24
536378,72,24
536378,73,24
536378,74,6
536378,75,48
536378,76,96
536378,77,10
536378,78,10
536379,112,-1
536380,79,24
536381,40,2
536381,47,4
536381,80,23
536381,81,5
536381,82,10
536381,83,2
536381,84,6
536381,85,24
536381,86,24
536381,87,4
536381,88,1
536381,89,1
536381,90,10
536381,91,3
536381,92,1
536381,93,2
536381,94,1
536381,95,1
536381,96,1
536381,97,6
536381,98,2
536381,99,1
536381,100,1
536381,101,1
536381,102,1
536381,103,2
536381,104,2
536381,105,2
536381,106,4
536381,107,1
536381,108,1
536381,109,3
536381,110,36
536381,111,10
536382,29,4
536382,32,12
536382,82,10
536382,113,8
536382,114,12
536382,115,10
536382,116,50
536382,117,8
536382,118,12
536382,119,2
536382,120,2
536382,121,4
536383,122,-1
536384,123,3
536384,124,48
536384,125,12
536384,126,6
536384,127,12
536384,128,40
536384,129,40
536384,130,6
536384,131,2
536384,132,4
536384,133,3
536384,134,6
536384,135,8
536385,22,6
536385,79,12
536385,121,1
536385,136,10
536385,137,12
536385,138,2
536385,139,10
536386,61,100
536386,140,36
536386,141,100
536387,40,432
536387,142,192
536387,143,192
536387,144,192
536387,145,432
536388,18,3
536388,19,3
536388,111,2
536388,125,12
536388,128,12
536388,146,3
536388,147,3
536388,148,6
536388,149,12
536388,150,12
536388,151,12
536388,152,12
536388,153,4
536388,154,12
536389,28,4
536389,29,4
536389,33,12
536389,122,6
536389,155,6
536389,156,8
536389,157,4
536389,158,6
536389,159,3
536389,160,2
536389,161,2
536389,162,2
536389,163,24
536389,164,24
536390,1,64
536390,4,24
536390,22,12
536390,66,96
536390,79,12
536390,102,12
536390,141,100
536390,151,96
536390,155,2
536390,165,48
536390,166,48
536390,167,8
536390,168,144
536390,169,40
536390,170,288
536390,171,100
536390,172,50
536390,173,96
536390,174,48
536390,175,144
536390,176,40
536390,177,24
536390,178,24
536390,179,48
536391,180,-12
536391,181,-24
536391,182,-24
536391,183,-24
536391,184,-12
536391,185,-12
536391,186,-24
536392,10,16
536392,187,6
536392,188,4
536392,189,12
536392,190,12
536392,191,1
536392,192,12
536392,193,12
536392,194,4
536392,195,24
536393,196,8
536394,1,32
536394,8,96
536394,9,96
536394,177,12
536394,197,24
536394,198,96
536394,199,96
536394,200,12
536394,201,48
536394,202,12
536394,203,20
536395,10,32
536395,28,8
536395,29,8
536395,58,8
536395,70,24
536395,72,24
536395,73,24
536395,184,8
536395,198,48
536395,204,8
536395,205,8
536395,206,4
536395,207,8
536395,208,48
536396,1,6
536396,2,6
536396,3,8
536396,4,6
536396,5,6
536396,6,2
536396,7,6
536396,48,6
536396,49,6
536396,50,6
536396,51,6
536396,52,6
536396,53,2
536396,54,4
536396,55,6
536396,56,12
536396,104,6
536396,209,2
536397,122,48
536397,210,12
536398,6,6
536398,9,12
536398,58,4
536398,89,8
536398,183,24
536398,198,12
536398,199,12
536398,211,6
536398,212,4
536398,213,2
536398,214,12
536398,215,12
536398,216,6
536398,217,8
536398,218,9
536398,219,4
536398,220,9
536399,8,6
536399,9,6
536400,151,12
536401,1,4
536401,53,1
536401,62,4
536401,67,1
536401,73,3
536401,79,4
536401,91,2
536401,134,2
536401,139,1
536401,178,1
536401,194,2
536401,221,1
536401,222,1
536401,223,2
536401,224,1
536401,225,1
536401,226,1
536401,227,1
536401,228,2
536401,229,1
536401,230,1
536401,231,1
536401,232,2
536401,233,2
536401,234,2
536401,235,1
536401,236,1
536401,237,1
536401,238,3
536401,239,1
536401,240,1
536401,241,1
536401,242,1
536401,243,1
536401,244,2
536401,245,4
536401,246,2
536401,247,1
536401,248,1
536401,249,1
536401,250,1
536401,251,1
536401,252,2
536401,253,3
536401,254,1
536401,255,1
536401,256,2
536401,257,2
536401,258,2
536401,259,1
536401,260,1
536401,261,2
536401,262,9
536401,263,3
536401,264,1
536401,265,2
536401,266,1
536401,267,1
536401,268,5
536401,269,3
536401,270,3
536401,271,9
536401,272,1
536401,273,1
536402,47,40
536402,169,40
536402,274,36
536403,46,1
536403,208,96
536404,70,24
536404,71,24
536404,86,12
536404,128,12
536404,171,36
536404,228,12
536404,275,24
536404,276,12
536404,277,12
536404,278,12
536404,279,12
536404,280,12
536404,281,12
536404,282,12
536404,283,12
536404,284,12
536404,285,12
536404,286,12
536404,287,12
536404,288,12
536404,289,12
536404,290,24
536404,291,24
536404,292,24
536404,293,10
536404,294,10
536404,295,10
536404,296,24
536405,297,128
536406,1,8
536406,2,8
536406,3,8
536406,4,6
536406,5,6
536406,6,2
536406,7,6
536406,48,6
536406,49,6
536406,50,6
536406,51,6
536406,52,6
536406,53,4
536406,54,4
536406,55,6
536406,56,6
536406,209,2
536407,8,6
536407,9,6
536408,5,4
536408,10,8
536408,18,3
536408,19,3
536408,25,3
536408,45,36
536408,58,4
536408,59,6
536408,64,6
536408,70,24
536408,114,12
536408,158,3
536408,159,3
536408,186,12
536408,188,4
536408,219,4
536408,224,8
536408,261,12
536408,289,6
536408,298,24
536408,299,24
536408,300,12
536408,301,12
536408,302,12
536408,303,12
536408,304,12
536408,305,12
536408,306,24
536408,307,12
536408,308,12
536408,309,12
536408,310,6
536408,311,2
536408,312,2
536408,313,12
536408,314,12
536408,315,36
536408,316,12
536408,317,25
536408,318,4
536408,319,12
536408,320,30
536408,321,12
536408,322,12
536408,323,6
536408,324,10
536408,325,12
536408,326,12
536409,8,1
536409,41,2
536409,63,1
536409,77,2
536409,141,2
536409,170,24
536409,171,2
536409,172,1
536409,183,12
536409,198,2
536409,218,1
536409,219,1
536409,220,2
536409,253,2
536409,269,3
536409,270,1
536409,327,6
536409,328,1
536409,329,1
536409,330,1
536409,331,1
536409,332,6
536409,333,1
536409,334,1
536409,335,2
536409,336,1
536409,337,1
536409,338,1
536409,339,1
536409,340,1
536409,341,1
536409,342,1
536409,343,1
536409,344,1
536409,345,6
536409,346,6
536409,347,12
536409,348,28
536409,349,1
536409,350,1
536409,351,1
536409,352,12
536409,353,1
536409,354,1
536409,355,1
536409,356,1
536409,357,3
536409,358,3
536409,359,6
536409,360,1
536409,361,1
536412,13,4
536412,35,1
536412,36,1
536412,40,5
536412,41,4
536412,47,1
536412,67,1
536412,79,24
536412,139,4
536412,154,5
536412,167,4
536412,171,5
536412,203,5
536412,212,2
536412,228,16
536412,265,3
536412,274,3
536412,293,3
536412,294,3
536412,295,3
536412,331,3
536412,362,1
536412,363,2
536412,364,1
536412,365,1
536412,366,1
536412,367,1
536412,368,1
536412,369,4
536412,370,4
536412,371,6
536412,372,10
536412,373,8
536412,374,10
536412,375,8
536412,376,10
536412,377,2
536412,378,3
536412,379,2
536412,380,2
536412,381,2
536412,382,2
536412,383,1
536412,384,3
536412,385,4
536412,386,14
536412,387,1
536412,388,2
536412,389,1
536412,390,2
536412,391,2
536412,392,2
536412,393,6
536412,394,1
536415,9,3
536415,13,2
536415,33,3
536415,41,3
536415,47,6
536415,70,2
536415,72,3
536415,79,3
536415,128,5
536415,129,1
536415,155,3
536415,169,5
536415,185,3
536415,199,3
536415,208,3
536415,274,3
536415,324,3
536415,342,3
536415,370,2
536415,395,10
536415,396,3
536415,397,3
536415,398,5
536415,399,2
536415,400,5
536415,401,3
536415,402,1
536415,403,4
536415,404,6
536415,405,5
536415,406,3
536415,407,4
536415,408,12
536415,409,5
536415,410,4
536415,411,6
536415,412,12
536415,413,2
536415,414,12
536415,415,1
536415,416,2
536415,417,3
536415,418,3
536415,419,2
536415,420,2
536415,421,3
536415,422,2
536415,423,4
536415,424,3
536415,425,3
536415,426,2
536415,427,3
536415,428,3
536415,429,3
536415,430,3
536415,431,3
536415,432,3
536415,433,2
536415,434,12
536416,56,6
536416,234,4
536416,235,4
536416,301,72
536416,435,12
536416,436,12
536420,151,12
536420,189,12
536420,190,12
536420,220,3
536420,221,6
536420,437,12
536420,438,6
536420,439,12
536420,440,8
536420,441,8
536420,442,4
536420,443,6
536420,444,4
536420,445,6
536423,5,8
536423,9,12
536423,177,8
536423,188,4
536423,219,8
536423,220,16
536423,274,8
536423,442,8
536423,446,6
536425,79,12
536425,89,12
536425,101,12
536425,106,12
536425,142,8
536425,147,3
536425,216,6
536425,225,6
536425,235,2
536425,274,8
536425,447,12
536425,448,6
536425,449,12
536425,450,12
536425,451,8
536425,452,4
536425,453,2
536437,132,72
536437,204,36
536437,454,200
536437,455,600
536437,456,48
536437,457,48
536446,188,8
536446,189,2
536446,261,4
536446,269,10
536446,323,12
536446,325,6
536446,347,24
536446,378,2
536446,438,2
536446,458,48
536446,459,2
536446,460,6
536446,461,12
536446,462,72
536446,463,4
536446,464,5
536446,465,6
536446,466,12
536446,467,2
536446,468,2
536446,469,2
536446,470,10
536446,471,10
536446,472,12
536446,473,2
536446,474,4
536446,475,24
536446,476,24
536460,10,24
536460,72,24
536460,118,4
536460,177,6
536460,184,8
536460,292,24
536460,474,12
536460,477,12
536460,478,12
536460,479,2
536460,480,2
536460,481,2
536460,482,2
536460,483,24
536463,484,12
536464,10,8
536464,22,1
536464,47,1
536464,60,1
536464,61,1
536464,70,3
536464,72,1
536464,136,1
536464,141,1
536464,169,1
536464,171,11
536464,183,1
536464,185,1
536464,188,1
536464,198,6
536464,201,2
536464,229,1
536464,247,1
536464,248,1
536464,250,1
536464,251,1
536464,275,1
536464,304,2
536464,322,6
536464,371,1
536464,373,1
536464,393,1
536464,395,2
536464,447,3
536464,462,1
536464,483,1
536464,485,2
536464,486,2
536464,487,2
536464,488,3
536464,489,1
536464,490,1
536464,491,3
536464,492,1
536464,493,1
536464,494,1
536464,495,2
536464,496,1
536464,497,1
536464,498,1
536464,499,2
536464,500,1
536464,501,2
536464,502,12
536464,503,2
536464,504,5
536464,505,10
536464,506,2
536464,507,1
536464,508,1
536464,509,2
536464,510,1
536464,511,1
536464,512,1
536464,513,1
536464,514,1
536464,515,2
536464,516,1
536464,517,1
536464,518,5
536464,519,6
536464,520,5
536464,521,2
536464,522,1
536464,523,1
536464,524,1
536464,525,1
536464,526,1
536464,527,1
536466,22,6
536466,79,12
536477,5,24
536477,8,12
536477,9,12
536477,82,10
536477,188,4
536477,205,48
536477,410,144
536477,411,144
536477,528,480
536477,529,48
536477,530,16
536477,531,16
536477,532,96
536477,533,16
536488,22,8
536488,79,1
536488,169,1
536488,187,1
536488,208,1
536488,212,1
536488,260,1
536488,323,5
536488,370,1
536488,378,3
536488,383,1
536488,397,5
536488,398,1
536488,407,2
536488,510,2
536488,520,5
