product_id,Description,UnitPrice
1,WHITE HANGING HEART T-LIGHT HOLDER,2.55
2,WHITE METAL LANTERN,3.39
3,CREAM CUPID HEARTS COAT HANGER,2.75
4,KNITTED UNION FLAG HOT WATER BOTTLE,3.39
5,RED WOOLLY HOTTIE WHITE HEART.,3.39
6,SET 7 BABUSHKA NESTING BOXES,7.65
7,GLASS STAR FROSTED T-LIGHT HOLDER,4.25
8,HAND WARMER UNION JACK,1.85
9,HAND WARMER RED POLKA DOT,1.85
10,ASSORTED COLOUR BIRD ORNAMENT,1.69
11,POPPY'S PLAYHOUSE BEDROOM ,2.1
12,POPPY'S PLAYHOUSE KITCHEN,2.1
13,FELTCRAFT PRINCESS CHARLOTTE DOLL,3.75
14,IVORY KNITTED MUG COSY ,1.65
15,BOX OF 6 ASSORTED COLOUR TEASPOONS,4.25
16,BOX OF VINTAGE JIGSAW BLOCKS ,4.95
17,BOX OF VINTAGE ALPHABET BLOCKS,9.95
18,HOME BUILDING BLOCK WORD,5.95
19,LOVE BUILDING BLOCK WORD,5.95
20,RECIPE BOX WITH METAL HEART,7.95
21,DOORMAT NEW ENGLAND,7.95
22,JAM MAKING SET WITH JARS,4.25
23,RED COAT RACK PARIS FASHION,4.95
24,YELLOW COAT RACK PARIS FASHION,4.95
25,BLUE COAT RACK PARIS FASHION,4.95
26,BATH BUILDING BLOCK WORD,5.95
27,ALARM CLOCK BAKELIKE PINK,3.75
28,ALARM CLOCK BAKELIKE RED ,3.75
29,ALARM CLOCK BAKELIKE GREEN,3.75
30,PANDA AND BUNNIES STICKER SHEET,0.85
31,STARS GIFT TAPE ,0.65
32,INFLATABLE POLITICAL GLOBE ,0.85
33,VINTAGE HEADS AND TAILS CARD GAME ,1.25
34,SET/2 RED RETROSPOT TEA TOWELS ,2.95
35,ROUND SNACK BOXES SET OF4 WOODLAND ,2.95
36,SPACEBOY LUNCH BOX ,1.95
37,LUNCH BOX I LOVE LONDON,1.95
38,CIRCUS PARADE LUNCH BOX ,1.95
39,CHARLOTTE BAG DOLLY GIRL DESIGN,0.85
